episode,reward,model,reward_mean
42,200.0,dqn,
43,200.0,dqn,
44,200.0,dqn,
45,200.0,dqn,
46,200.0,dqn,
47,200.0,dqn,
48,200.0,dqn,
49,200.0,dqn,200.0
50,200.0,dqn,200.0
51,200.0,dqn,200.0
52,200.0,dqn,200.0
53,200.0,dqn,200.0
54,200.0,dqn,200.0
55,200.0,dqn,200.0
56,200.0,dqn,200.0
57,200.0,dqn,200.0
58,200.0,dqn,200.0
59,200.0,dqn,200.0
60,200.0,dqn,200.0
61,200.0,dqn,200.0
62,200.0,dqn,200.0
63,200.0,dqn,200.0
64,200.0,dqn,200.0
65,200.0,dqn,200.0
66,200.0,dqn,200.0
67,200.0,dqn,200.0
68,200.0,dqn,200.0
69,200.0,dqn,200.0
70,200.0,dqn,200.0
71,200.0,dqn,200.0
72,200.0,dqn,200.0
73,200.0,dqn,200.0
74,200.0,dqn,200.0
75,200.0,dqn,200.0
76,166.0,dqn,199.32
77,200.0,dqn,199.32
78,200.0,dqn,199.32
79,200.0,dqn,199.32
80,200.0,dqn,199.32
81,200.0,dqn,199.32
82,200.0,dqn,199.32
83,200.0,dqn,199.32
84,200.0,dqn,199.32
85,200.0,dqn,199.32
86,200.0,dqn,199.32
87,200.0,dqn,199.32
88,200.0,dqn,199.32
89,200.0,dqn,199.32
90,200.0,dqn,199.32
91,200.0,dqn,199.32
92,200.0,dqn,199.32
93,200.0,dqn,199.32
94,200.0,dqn,199.32
95,200.0,dqn,199.32
96,200.0,dqn,199.32
97,200.0,dqn,199.32
98,200.0,dqn,199.32
99,200.0,dqn,199.32
100,200.0,dqn,199.32
0,200.0,dqn,
1,200.0,dqn,
2,200.0,dqn,
3,200.0,dqn,
4,200.0,dqn,
5,200.0,dqn,
6,200.0,dqn,
7,200.0,dqn,
8,200.0,dqn,
9,200.0,dqn,
10,200.0,dqn,
11,200.0,dqn,
12,200.0,dqn,
13,200.0,dqn,
14,200.0,dqn,
15,200.0,dqn,
16,200.0,dqn,
17,200.0,dqn,
18,200.0,dqn,
19,200.0,dqn,
20,200.0,dqn,
21,200.0,dqn,
22,200.0,dqn,
